int min 1,int min 2,int min 3,int min 4,int min 5,int min 6,int min 7,int min 8,int min 9,int min 10,int min 11,int min 12,int min 13,int min 14,int min 15,int min 16,int min 17,int min 18,int min 19,int min 20,int min 21,int min 22,int min 23,int min 24,int min 25,int min 26,int min 27,int min 28,int min 29,int min 30,int min 31,int min 32,int min 33,int min 34,int min 35,int min 36,int min 37,int min 38,int min 39,int min 40,int min 41,int min 42,int min 43,int min 44,int min 45,int min 46,int min 47,int min 48,int min 49,int min 50,int min 51,int min 52,int min 53,int min 54,int min 55,int min 56,int min 57,int min 58,int min 59,int min 60
0.9324116133908047 - 0.00041748904053087147im,0.9323909609553703 - 0.0004345722824245838im,0.9323702888951344 - 0.0004516359256789343im,0.9323496201156088 - 0.0004687602902635948im,0.932328930332694 - 0.0004858499163958983im,0.9323082708356079 - 0.0005029683077941978im,0.9322875807120597 - 0.0005200423280246645im,0.9322669219701887 - 0.0005371722696497974im,0.932246271940038 - 0.0005543085341562929im,0.9322256062578789 - 0.0005714199799258048im,0.932204908814391 - 0.0005885232768268158im,0.9321842701874408 - 0.0006056199578977041im,0.9321636299036873 - 0.0006227458149490162im,0.9321429462769141 - 0.0006398622148989541im,0.9321222325728376 - 0.0006569740700389027im,0.9321015362119414 - 0.0006740912424044592im,0.932080828032461 - 0.0006911645843540249im,0.932060108583213 - 0.0007082820248067118im,0.9320394024762556 - 0.0007253930348313048im,0.93201876086101 - 0.0007425131624027658im,0.9319980707870458 - 0.0007595483178602545im,0.931977407318363 - 0.0007766174813278368im,0.9319567060762058 - 0.0007937624074289144im,0.9319359995388079 - 0.0008108810757810491im,0.931915293734859 - 0.0008279842578520408im,0.9318945167964789 - 0.0008450634372623949im,0.9318738014890755 - 0.0008621739360390492im,0.9318530878463112 - 0.0008792473096132013im,0.9318323962657351 - 0.0008963365827013846im,0.9318116511739846 - 0.0009134235329139551im,0.9317909781483079 - 0.0009305155411721318im,0.9317702441905876 - 0.000947615304940554im,0.9317495115269783 - 0.0009646774616333937im,0.9317287882076773 - 0.0009818065526656556im,0.931708067622393 - 0.0009989236768191626im,0.9316873409924232 - 0.0010160182044431706im,0.9316665894051752 - 0.0010331133992293056im,0.9316458909937169 - 0.0010501819810475115im,0.9316251560503724 - 0.0010672979174693746im,0.9316044044265325 - 0.00108437068433248im,0.9315836442222221 - 0.0011014782859914533im,0.9315628915298506 - 0.0011185854899795884im,0.9315429952799301 - 0.0011349080014733184im,0.9315426563326158 - 0.0011351681920459802im,0.9315426640080964 - 0.0011351774410323758im,0.9315426813043297 - 0.0011351973534386565im,0.9315426832155403 - 0.0011351993730447437im,0.9315426971731747 - 0.0011352165915489323im,0.9315427059265412 - 0.0011352267478974352im,0.9315426985745403 - 0.0011352178951837986im,0.9315426790200039 - 0.001135194882461077im,0.9315426652689212 - 0.0011351793568413885im,0.9315426449947646 - 0.0011351552563815329im,0.9315426619181162 - 0.001135176037236071im,0.9315426788859814 - 0.0011351962936790162im,0.9315426755536061 - 0.0011351922484386062im,0.9315426641188933 - 0.0011351795482603187im,0.9315426504844607 - 0.00113516288691551im,0.9315426598047966 - 0.0011351736229505357im,0.9315426707949747 - 0.0011351858029568717im
0.9329503428352046 - 0.00024871153934998463im,0.932903554317318 - 0.0002899094696218467im,0.932856855792181 - 0.0003310435627728547im,0.9328101701552087 - 0.00037218211250347944im,0.9327633982856309 - 0.00041345224831590936im,0.9327165929794178 - 0.0004546583178111565im,0.9326699597592057 - 0.0004959663504006027im,0.9326233112862126 - 0.0005371263383450777im,0.9325766647251456 - 0.0005783152276785088im,0.9325298315516529 - 0.0006195346396631919im,0.9324830602520946 - 0.0006607573924021755im,0.932436289391257 - 0.0007019004118622518im,0.9323895212536655 - 0.0007431080651421442im,0.9323427883257613 - 0.0007842226895947782im,0.9322958465318562 - 0.0008253109252394374im,0.9322490937031713 - 0.0008664958142079799im,0.9322022928266611 - 0.0009075239674583838im,0.9321555704010278 - 0.0009487395727176224im,0.9321087275139979 - 0.000989979265246618im,0.9320618730447475 - 0.0010311526947281784im,0.9320151108807212 - 0.0010723202728524167im,0.9319682284402179 - 0.0011133983647529059im,0.9319213594826552 - 0.0011545213263771423im,0.9318743929236509 - 0.0011956982674794425im,0.9318274122286461 - 0.0012367782425144976im,0.9317805721422613 - 0.0012780310423324845im,0.9317337196288841 - 0.0013191539809241479im,0.9316868618642571 - 0.0013603730801454322im,0.9316400640279529 - 0.0014015690069401638im,0.9315931843029571 - 0.001442669650142417im,0.9315462538606246 - 0.001483825923056713im,0.931499311718336 - 0.0015248458504674896im,0.9314523614349256 - 0.0015660282443785351im,0.9314055068194043 - 0.0016071774195423163im,0.9313586618880495 - 0.0016483838580276173im,0.9313118095520118 - 0.0016895188524356658im,0.931264828481659 - 0.0017306531266900716im,0.9312178127464047 - 0.0017717654565951215im,0.9311708634843819 - 0.001813044046429648im,0.9311240152512394 - 0.0018541451928458146im,0.9310770332711814 - 0.001895392732052205im,0.9310300992556434 - 0.0019365136169120013im,0.9309851357070019 - 0.0019758565167418583im,0.9309843876665229 - 0.0019764505745857794im,0.930984443205989 - 0.001976512516701919im,0.930984499001078 - 0.001976574360772084im,0.9309844883750167 - 0.0019765628051967355im,0.9309843860616129 - 0.0019764500727119795im,0.9309843376991603 - 0.0019763980098649876im,0.9309843662531113 - 0.0019764304350767922im,0.9309843848219276 - 0.001976451449263984im,0.9309843107940347 - 0.0019763695574864133im,0.9309843108777762 - 0.00197637086207619im,0.9309842615885333 - 0.0019763166229891105im,0.9309842586865673 - 0.001976314500880745im,0.9309842294877173 - 0.0019762825870386015im,0.9309841966114628 - 0.00197624540633458im,0.9309841754852466 - 0.0019762219990474396im,0.9309842158850457 - 0.0019762665209184043im,0.9309842398548273 - 0.001976293448649325im
0.953287105912305 - 0.0005785910837259515im,0.9532607952087488 - 0.0006010391543433223im,0.9532343575540837 - 0.0006234607488236304im,0.9532080513468476 - 0.0006459315593126203im,0.9531816519533503 - 0.0006683328408988771im,0.953155322887525 - 0.0006907713699868588im,0.9531289121995495 - 0.0007131917760498706im,0.953102473866418 - 0.0007355580967439011im,0.9530760982669604 - 0.0007580121975444125im,0.9530497212430343 - 0.0007804300497203819im,0.9530234042354393 - 0.0008028458348517742im,0.9529969836606648 - 0.0008252703627184255im,0.9529706222168945 - 0.0008476424135719337im,0.9529442488672505 - 0.0008701124347219381im,0.9529178871926556 - 0.0008925594330965482im,0.9528914656402855 - 0.0009149863652805005im,0.952865103759859 - 0.0009373923884396797im,0.9528386947660492 - 0.0009598268774218346im,0.9528122941402326 - 0.0009822856641216657im,0.9527858573897061 - 0.0010048013879586774im,0.9527594457773878 - 0.0010273669600294377im,0.9527330481823885 - 0.0010498185837464293im,0.9527065955412585 - 0.001072236894593828im,0.9526802294911024 - 0.0010946228346132517im,0.9526537869353572 - 0.0011170747345851896im,0.9526273612655155 - 0.001139458067250129im,0.9526009895097215 - 0.001161858588546396im,0.9525745380546048 - 0.0011843039951204167im,0.9525481665117788 - 0.0012066874459332622im,0.9525217382719526 - 0.0012291354039291266im,0.9524952860856805 - 0.0012515428460667887im,0.9524688679164687 - 0.001273941396831089im,0.9524424824327137 - 0.0012963368146734838im,0.9524160256209842 - 0.001318735711570193im,0.9523895794138636 - 0.001341162537052325im,0.9523631960886186 - 0.0013635766891460027im,0.9523367316406677 - 0.0013860188781851183im,0.9523102739301917 - 0.001408499559093076im,0.9522838613389409 - 0.0014308787240231526im,0.9522573748957784 - 0.0014533008865761535im,0.9522308878399139 - 0.0014756969096951838im,0.9522044243963128 - 0.0014981481295153842im,0.9521790996566222 - 0.0015197049055082944im,0.9521785992345705 - 0.0015200852112160909im,0.9521786185008687 - 0.001520107365746395im,0.9521786433084114 - 0.0015201363416800227im,0.9521786337154087 - 0.0015201254258372084im,0.9521786120279347 - 0.0015201009327117075im,0.952178624308896 - 0.0015201155357116183im,0.95217858740732 - 0.0015200754599778146im,0.9521785905961517 - 0.0015200791774284757im,0.952178626809607 - 0.0015201181179394197im,0.9521786492218085 - 0.001520143265587784im,0.9521786563894425 - 0.001520151604937721im,0.952178685842468 - 0.0015201845747970237im,0.9521786711020634 - 0.0015201697496649148im,0.9521786537281813 - 0.0015201497382435953im,0.9521786532266219 - 0.0015201489677218424im,0.9521786602938267 - 0.0015201567580910317im,0.9521786493074252 - 0.0015201453205207977im
0.9324344305250155 - 0.0004179234201367383im,0.9324140156918609 - 0.00043478612605968374im,0.9323935794973724 - 0.0004516283550866269im,0.9323731498097667 - 0.0004685370245768474im,0.9323526997098064 - 0.00048540595912757766im,0.9323322787575667 - 0.00050230022128819im,0.9323118320945702 - 0.0005191497032396904im,0.9322914088517782 - 0.0005360549583481293im,0.9322709991969117 - 0.0005529664652254911im,0.9322505697392274 - 0.0005698559142256457im,0.9322301125966435 - 0.0005867423750990289im,0.9322097062718795 - 0.0006036164911084306im,0.9321893053492758 - 0.0006205173204735698im,0.9321688614135915 - 0.0006374088121866068im,0.9321483837099614 - 0.0006542964645099468im,0.932127922716182 - 0.0006711936164741198im,0.9321074568584325 - 0.0006880444873935861im,0.9320869770588408 - 0.0007049374744713511im,0.9320665113396652 - 0.0007218339947613565im,0.9320461037293013 - 0.0007387241935722147im,0.932025654988663 - 0.0007555420396651499im,0.9320052302203485 - 0.0007723884236892992im,0.931984768545994 - 0.0007893143234853685im,0.9319642984499845 - 0.0008062118295438152im,0.9319438322735689 - 0.0008230952221901497im,0.9319232980281112 - 0.0008399475854404638im,0.9319028273478347 - 0.0008568449657809786im,0.9318823503945761 - 0.0008737009133036704im,0.9318618979101554 - 0.0008905738498430694im,0.9318413819333243 - 0.0009074400412017758im,0.931820949239675 - 0.0009243112151944222im,0.931800452141708 - 0.0009411877374276725im,0.9317799601976531 - 0.0009580315111005037im,0.9317594738935937 - 0.000974936848141649im,0.9317389958281572 - 0.000991829181070239im,0.9317185034710955 - 0.0010087018105567895im,0.9316979913455095 - 0.0010255743464681296im,0.9316775334881883 - 0.0010424225856454936im,0.9316570355979114 - 0.0010593167639274075im,0.9316365196840437 - 0.001076167101898064im,0.9316159996414424 - 0.001093050425008498im,0.9315954856015413 - 0.0011099296966113874im,0.9315758295526485 - 0.0011260372166704156im,0.9315754891134608 - 0.001126297944449034im,0.931575496742392 - 0.001126307148652734im,0.9315755140684462 - 0.0011263270953075066im,0.9315755179897744 - 0.001126331275928559im,0.9315755339630162 - 0.0011263506459057166im,0.9315755423194119 - 0.0011263603729059035im,0.9315755323967834 - 0.0011263487665483002im,0.9315755117678497 - 0.0011263246120761664im,0.9315754981986895 - 0.0011263092880045848im,0.9315754784483791 - 0.0011262857436799673im,0.9315754934559687 - 0.0011263044686635158im,0.9315755088645541 - 0.0011263230567550918im,0.9315755053781459 - 0.0011263188494558068im,0.9315754948076626 - 0.001126307077220541im,0.9315754789600381 - 0.0011262880536954938im,0.9315754871419517 - 0.001126297568103479im,0.9315754988446386 - 0.0011263105133084658im
0.9329524367351747 - 0.0002467537899781441im,0.9329070130053005 - 0.00028667439322697474im,0.9328616792701409 - 0.0003265379340308139im,0.9328163570549927 - 0.00036640470111246395im,0.9327709473905307 - 0.00040640326237102975im,0.9327255040619262 - 0.00044634198276457485im,0.9326802331764921 - 0.00048637029829451807im,0.9326349486529514 - 0.0005262574318573896im,0.9325896551187897 - 0.0005661750782235996im,0.9325441942201159 - 0.0006061166379389896im,0.9324987878098212 - 0.0006460616459054331im,0.9324533853771861 - 0.0006859344442464543im,0.9324079846340261 - 0.000725870649718679im,0.932362617854687 - 0.000765712483546367im,0.9323170485385281 - 0.0008055360827789539im,0.932271660322666 - 0.0008454478791646733im,0.9322262316531286 - 0.0008852097531918708im,0.9321808679588016 - 0.000925140409734907im,0.9321353887163697 - 0.0009651056336018325im,0.932089888729568 - 0.0010049938300184331im,0.9320444938545629 - 0.001044892812993604im,0.9319989772901086 - 0.0010846972206328535im,0.9319534706874975 - 0.0011245568530219659im,0.9319078827125816 - 0.0011644707432729377im,0.9318622689763139 - 0.001204285169008682im,0.9318167996491757 - 0.0012442553776395564im,0.9317713008137634 - 0.0012841099453579346im,0.9317258058935333 - 0.0013240481984000629im,0.9316803761850819 - 0.0013639667516627716im,0.9316348636868086 - 0.0014038006183954386im,0.9315893046641206 - 0.00144367894562223im,0.9315437367933275 - 0.001483432448886598im,0.9314981555729687 - 0.0015233403294693333im,0.9314526540389031 - 0.0015632164634854099im,0.9314071701590776 - 0.0016031496250699733im,0.9313616805152265 - 0.001643012474397855im,0.9313160744449968 - 0.001682879242890769im,0.9312704234671966 - 0.0017227280984917048im,0.9312248564373979 - 0.0017627242938013888im,0.9311793639357586 - 0.001802551371184515im,0.9311337645530358 - 0.0018425155853422249im,0.9310881985477767 - 0.0018823718738837252im,0.9310445598629088 - 0.0019204833780789652im,0.9310438444267322 - 0.0019210564279197294im,0.9310439037071162 - 0.001921122402162515im,0.9310439568591775 - 0.0019211814302793032im,0.9310439482300051 - 0.0019211720098436687im,0.9310438524337102 - 0.001921066252526853im,0.931043810011097 - 0.0019210205677958308im,0.9310438346611276 - 0.0019210487916388782im,0.9310438541800249 - 0.001921070848429861im,0.9310437816145262 - 0.0019209905174262859im,0.9310437830633926 - 0.001920993302187688im,0.9310437345744049 - 0.001920939911777659im,0.9310437311232734 - 0.0019209371916143333im,0.9310437079496982 - 0.001920911735349115im,0.931043674241485 - 0.0019208736557421835im,0.9310436490384645 - 0.001920845868976215im,0.9310436826096928 - 0.0019208830546819542im,0.9310437076781549 - 0.00192091116370955im
0.9466051662315722 - 0.00017919270717765856im,0.9465946294396625 - 0.00018694043552770417im,0.9465840743554981 - 0.00019467630365387902im,0.9465735324705399 - 0.00020242595280479942im,0.946562986590101 - 0.00021017561781936218im,0.9465524357314431 - 0.00021791630149404584im,0.946541891721912 - 0.0002256826981331118im,0.9465313478698435 - 0.00023342109313833747im,0.9465207968902204 - 0.00024117316366330737im,0.9465102351211354 - 0.0002489242183741485im,0.9464997021352739 - 0.0002566848086643388im,0.9464891425459948 - 0.00026443033154188977im,0.9464785858596131 - 0.00027218175424722254im,0.9464680409076749 - 0.000279934315565557im,0.9464574800172423 - 0.0002876813570376811im,0.9464469212172392 - 0.00029544542608300403im,0.9464363759366252 - 0.000303169708660573im,0.9464258321117156 - 0.0003109190979452841im,0.9464152682722363 - 0.0003186756431220732im,0.946404696437355 - 0.0003264395064159032im,0.9463941337199612 - 0.00033420281931858815im,0.9463835667525885 - 0.00034194520728767196im,0.9463729980631447 - 0.0003496951331111468im,0.9463624340831507 - 0.0003574268206031493im,0.9463518614683013 - 0.000365164746410286im,0.9463413016939342 - 0.00037290152728717944im,0.9463307523065138 - 0.0003806414281676198im,0.94632018336625 - 0.00038839037431284343im,0.9463096292347035 - 0.000396131035502054im,0.946299043022459 - 0.00040387383513112204im,0.9462884668723068 - 0.00041162503376514686im,0.9462779096755111 - 0.00041936007339665477im,0.9462673522238448 - 0.00042709626046368113im,0.9462567761225992 - 0.00043483363330075535im,0.9462462110583625 - 0.00044258363616147753im,0.9462356419969302 - 0.00045033097787481165im,0.9462250579724849 - 0.00045808490273119973im,0.9462144963146865 - 0.0004658217297301449im,0.9462039207390428 - 0.0004735750510103035im,0.9461933482072666 - 0.0004813305547313981im,0.9461827774221677 - 0.0004890758099998279im,0.9461721762202151 - 0.0004968275033742911im,0.9461620750769157 - 0.0005042367334767504im,0.9461618285724966 - 0.0005044173849390203im,0.9461618391337151 - 0.000504430592338645im,0.9461618416575581 - 0.0005044353693382961im,0.9461618424084139 - 0.0005044357732519322im,0.9461618405484192 - 0.0005044322535468569im,0.9461618426552698 - 0.0005044354505582097im,0.9461618545155028 - 0.0005044484043990826im,0.9461618597573076 - 0.0005044547165758402im,0.9461618585436398 - 0.0005044526874750699im,0.9461618649255094 - 0.0005044610236602503im,0.9461618665561717 - 0.0005044627511932653im,0.9461618729378157 - 0.0005044709241080459im,0.9461618672551989 - 0.0005044649800047943im,0.9461618586494215 - 0.0005044543645097586im,0.946161858286804 - 0.0005044532211904946im,0.9461618558601267 - 0.0005044507977912915im,0.9461618620509332 - 0.000504457934542008im
0.9509759079514652 - 1.6066189890878424e-5im,0.9509692488650225 - 2.1124475907652313e-5im,0.9509625815965201 - 2.616544665275605e-5im,0.9509559214349126 - 3.122174894637443e-5im,0.9509492492860292 - 3.626364655038589e-5im,0.9509425895691171 - 4.132036063366983e-5im,0.9509359153139652 - 4.637045270040898e-5im,0.9509292428208078 - 5.141433405449339e-5im,0.9509225747428448 - 5.644787454600961e-5im,0.9509159028504515 - 6.149416182395299e-5im,0.9509092315331475 - 6.653782427591199e-5im,0.9509025592205267 - 7.160081578188625e-5im,0.950895886920899 - 7.6657626677149e-5im,0.9508892092605176 - 8.170761181532241e-5im,0.9508825464434305 - 8.675964301161578e-5im,0.9508758600370463 - 9.180616471252135e-5im,0.9508691949135009 - 9.684154404939062e-5im,0.9508625236772791 - 0.00010188887203625496im,0.9508558555672786 - 0.0001069513233221747im,0.9508491876220124 - 0.00011201237973906085im,0.9508425154934497 - 0.0001170582631766027im,0.950835834716647 - 0.00012210543099229959im,0.9508291688820073 - 0.0001271565800616509im,0.9508224808832719 - 0.00013220283041968662im,0.9508157961482585 - 0.00013723487334412377im,0.9508091248777389 - 0.00014228297199049713im,0.9508024483009505 - 0.00014733779975812796im,0.9507957791543893 - 0.0001523720432470284im,0.9507890941491168 - 0.00015741444105339808im,0.9507824176437344 - 0.00016246420389835506im,0.9507757349307078 - 0.0001675106240265267im,0.9507690529318875 - 0.00017255478088474034im,0.9507623723907194 - 0.00017759271839259914im,0.9507556962584296 - 0.00018263945471656292im,0.9507490275159737 - 0.00018769322496273768im,0.9507423550366896 - 0.00019274025710139093im,0.9507356625920678 - 0.00019778456152751587im,0.9507289990135254 - 0.00020283025338078227im,0.9507223132745799 - 0.00020787070927273755im,0.9507156322210263 - 0.00021292700847455582im,0.9507089559579995 - 0.00021798003693911745im,0.9507022911580694 - 0.00022302883684948834im,0.9506958723919876 - 0.00022786716956007727im,0.9506957285183939 - 0.0002279758478329597im,0.9506957315477593 - 0.00022797920609294963im,0.9506957344120115 - 0.00022798308114846188im,0.9506957452408304 - 0.0002279963932886502im,0.9506957443101908 - 0.00022799517785981164im,0.9506957424694857 - 0.00022799278244708493im,0.9506957390351556 - 0.00022798852778093705im,0.9506957366218555 - 0.00022798573608707104im,0.9506957331430016 - 0.00022798125328806962im,0.9506957281740728 - 0.00022797485911232277im,0.9506957296861608 - 0.00022797725760200595im,0.9506957296649229 - 0.00022797722578699183im,0.9506957385267795 - 0.00022798772328303286im,0.9506957375899961 - 0.00022798660717589036im,0.9506957390464198 - 0.0002279873879347144im,0.9506957358540697 - 0.00022798376354038553im,0.9506957352943841 - 0.0002279831457170122im
0.9324776033555626 - 0.00042109267180013166im,0.9324560641663246 - 0.0004390078770487495im,0.9324345020886441 - 0.0004568974521177006im,0.9324129487713205 - 0.0004748650124806306im,0.932391377393694 - 0.000492784085279431im,0.9323698293377625 - 0.000510730120741416im,0.9323482590578436 - 0.0005286337170385573im,0.9323267108692664 - 0.0005465889526638644im,0.9323051802989013 - 0.0005645506265758196im,0.9322836229085926 - 0.0005824919531395384im,0.9322620404848875 - 0.0006004322265790085im,0.9322405118319927 - 0.0006183599417233833im,0.9322189881831915 - 0.0006363146357758802im,0.9321974172594103 - 0.0006542563818483873im,0.93217580831191 - 0.0006721933834509928im,0.9321542160199434 - 0.0006901434314760418im,0.9321326217613254 - 0.0007080467392850326im,0.9321110122910536 - 0.0007259934859639793im,0.9320894195183396 - 0.00074395155100891im,0.9320678897084131 - 0.000761896042295344im,0.932046315235122 - 0.0007797640760761644im,0.9320247603135281 - 0.0007976589502892496im,0.9320031755641348 - 0.0008156401739655992im,0.9319815838630127 - 0.0008335910065740414im,0.931959989542022 - 0.0008515289218795894im,0.9319383254235891 - 0.0008694295247352489im,0.9319167304302303 - 0.0008873854564749173im,0.9318951263932285 - 0.0009052927518782735im,0.9318735507190619 - 0.0009232207805891677im,0.9318518978400243 - 0.0009411436791012205im,0.9318303409877867 - 0.0009590699311832792im,0.9318087122757865 - 0.0009769989882042938im,0.9317870970528469 - 0.0009948940780715016im,0.931765482124624 - 0.0010128548992512734im,0.9317438736998319 - 0.0010307973758248434im,0.9317222511247307 - 0.0010487204322885489im,0.9317006071436092 - 0.0010666479813239826im,0.9316790209095411 - 0.0010845485633790507im,0.9316573945500342 - 0.0011024899257148105im,0.9316357468265735 - 0.0011203923142451527im,0.9316140947924756 - 0.0011383274062528807im,0.9315924528022084 - 0.001156256127636219im,0.9315717204509024 - 0.0011733696874767997im,0.9315713581277587 - 0.001173648249013069im,0.9315713632124951 - 0.0011736547380138522im,0.9315713818959755 - 0.0011736761425460273im,0.9315713840805009 - 0.0011736784555291641im,0.9315713983541848 - 0.0011736960010038204im,0.9315714063909492 - 0.0011737053780162877im,0.9315713952582857 - 0.001173692483018967im,0.9315713735492479 - 0.0011736671688813583im,0.9315713577012898 - 0.0011736494099680206im,0.9315713359232252 - 0.0011736236955700932im,0.9315713526106687 - 0.0011736442182313808im,0.931571369248407 - 0.0011736641253872397im,0.9315713652574101 - 0.0011736593804851296im,0.9315713537685905 - 0.0011736466229306183im,0.9315713354049736 - 0.001173624917695177im,0.9315713442299435 - 0.0011736351232861262im,0.9315713582143201 - 0.0011736505152527585im
0.9479489653590483 - 8.104689281499158e-5im,0.9479353260446409 - 9.17389353787843e-5im,0.9479216681266585 - 0.00010242999719911im,0.9479080213738392 - 0.00011313291165719369im,0.9478943715739994 - 0.00012383206146740567im,0.9478807250204062 - 0.00013452461429724172im,0.9478670769616078 - 0.0001452446054740249im,0.9478534480553731 - 0.00015594463864905433im,0.9478398109999786 - 0.0001666465830479838im,0.9478261545110981 - 0.00017736691139543374im,0.9478124776871365 - 0.0001880653328346511im,0.9477988151019636 - 0.00019875172035151896im,0.9477851722174275 - 0.0002094729316891338im,0.9477714891734813 - 0.00022016513355548563im,0.9477578618164024 - 0.0002308657738448681im,0.9477442004844291 - 0.00024158224802501858im,0.9477305768924589 - 0.0002522866696118852im,0.9477169369929938 - 0.0002630070303751448im,0.9477032917954177 - 0.0002737064607954255im,0.947689601555537 - 0.0002844192854867065im,0.9476759633926921 - 0.00029512104279572765im,0.9476622914834777 - 0.00030582585803054627im,0.947648611357705 - 0.0003165025040290694im,0.9476349743081975 - 0.0003271853898878186im,0.9476212774963606 - 0.0003378722198578724im,0.9476075889937259 - 0.0003485622139671308im,0.9475939384074535 - 0.00035926230933628814im,0.947580249000273 - 0.00036994630166531936im,0.9475665854301236 - 0.0003806372277438458im,0.9475528957067233 - 0.0003913226355326613im,0.9475392430395181 - 0.00040201035270771206im,0.9475255917738152 - 0.0004126635539178269im,0.9475118785793317 - 0.00042335876704614994im,0.9474982094906312 - 0.0004340598426189403im,0.9474845188701997 - 0.00044479926777718536im,0.9474708231832706 - 0.00045551039674407337im,0.9474571475757854 - 0.0004662077721440492im,0.9474434657730807 - 0.0004768657551301619im,0.9474297870012743 - 0.0004875971743157705im,0.9474160708057333 - 0.0004982709264577716im,0.9474023805345064 - 0.0005089947908489596im,0.9473886564925704 - 0.00051973400444317im,0.9473755173413708 - 0.0005300228985306972im,0.9473752012791349 - 0.0005302223195924432im,0.9473751974572969 - 0.0005302205317564184im,0.9473751956084553 - 0.0005302204148853397im,0.9473751837998385 - 0.0005302076007356766im,0.9473751783468105 - 0.0005301999371386906im,0.947375175675902 - 0.0005301976052965818im,0.9473751803830095 - 0.0005302036733647611im,0.9473751785825798 - 0.0005302028949460864im,0.9473751597369142 - 0.0005301811725364526im,0.9473751718809111 - 0.00053019611294541im,0.9473751874018375 - 0.0005302121940207657im,0.9473752018393589 - 0.0005302290431926678im,0.9473751892449319 - 0.0005302148499027171im,0.9473751676415728 - 0.0005301902246262413im,0.9473751530906854 - 0.0005301733627344782im,0.9473751441556935 - 0.00053016387779256im,0.9473751364231914 - 0.0005301564027909323im
0.8880015496587806 - 0.00040578607828087293im,0.8879757034595053 - 0.0004273705486175892im,0.8879498284275339 - 0.0004489202847792272im,0.8879239696320463 - 0.0004705576528984374im,0.8878980594388064 - 0.0004921511186649682im,0.8878721937394474 - 0.0005137726238231188im,0.887846289497495 - 0.0005353404497520791im,0.8878204292011036 - 0.0005569817728182422im,0.8877945841341955 - 0.0005786453801200386im,0.8877687265969549 - 0.0006002675098973824im,0.8877427989988357 - 0.000621861095428917im,0.8877169776195869 - 0.0006434576145260215im,0.887691137399574 - 0.0006651004283462771im,0.8876652478573406 - 0.0006867252179097435im,0.8876393249744143 - 0.0007083528569424441im,0.887613432075241 - 0.0007299762004090954im,0.887587504748205 - 0.0007515370158290283im,0.8875615593587232 - 0.0007731706863980399im,0.8875356300237781 - 0.0007947730552096102im,0.8875098007045606 - 0.0008164116035655642im,0.887483898141839 - 0.0008379123357231899im,0.887458045788264 - 0.0008594828130524166im,0.8874321271701587 - 0.0008811313551166028im,0.8874062282459374 - 0.0009027453968985421im,0.8873803178466012 - 0.0009243529040794692im,0.8873543019852148 - 0.0009459471970350448im,0.8873283490945966 - 0.0009675304894698706im,0.8873024251328873 - 0.0009890900376966815im,0.887276521152932 - 0.0010106719853845761im,0.887250580199736 - 0.0010322411069233614im,0.887224694206287 - 0.0010538328465655542im,0.8871987530919705 - 0.0010754389514797322im,0.8871727931968056 - 0.0010969738629414026im,0.8871468630769733 - 0.0011186206103043512im,0.8871209262293623 - 0.0011402459640658489im,0.8870949789928082 - 0.001161856041293621im,0.8870689906652979 - 0.0011834440777972243im,0.8870430781382895 - 0.0012050058753830548im,0.8870171310932838 - 0.001226638313245501im,0.8869911613000675 - 0.001248212814033747im,0.8869651774740684 - 0.0012698308155571908im,0.8869391992232175 - 0.0012914586754278084im,0.8869142273828015 - 0.0013121081794887223im,0.8869138130887164 - 0.0013124210779072566im,0.886913827503363 - 0.0013124379841160433im,0.8869138457493717 - 0.0013124591651809256im,0.8869138431678779 - 0.001312456115803821im,0.8869138563093896 - 0.0013124724546008794im,0.8869138628489601 - 0.001312480028722629im,0.8869138590897875 - 0.0013124754390044199im,0.8869138420001826 - 0.0013124552821364766im,0.8869138234632782 - 0.0013124342349772093im,0.8869137963878961 - 0.0013124025299088267im,0.8869138177694637 - 0.001312428202467336im,0.8869138357806271 - 0.0013124499414120796im,0.886913831008015 - 0.0013124442388502218im,0.8869138164283288 - 0.001312427586342137im,0.8869138049559868 - 0.00131241377398579im,0.8869138212126956 - 0.0013124326467721542im,0.8869138335586237 - 0.0013124462936223947im
